age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
19,F,Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,15.0,483.03,52702.67,389.3564432,No,Yes,Yes,No Information Available,User Friendly Website,0
48,M,Town,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,12.0,72.52,15860.41,529.03,No,Yes,No,Not Applicable,No reason specified,0
43,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17.0,108.3,21725.57,225.0044276,No,Yes,No,Not Applicable,Poor Website,1
29,F,Town,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,18.0,300.38,12069.06,777.31,No,Yes,No,Not Applicable,Too many ads,0
10,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,1.0,100.65,8515.5,757.7,Yes,No,No,Not Applicable,No reason specified,0
20,F,Village,No Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,22.0,272.31,42743.44,687.26,Yes,No,No,Not Applicable,Poor Product Quality,1
61,F,Village,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17.0,-936.7448179,29156.1,710.38,Yes,No,Yes,No Information Available,No reason specified,1
10,M,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,4.0,127.37,15719.24,634.88,Yes,No,Yes,Unsolved,Poor Website,1
17,F,City,No Membership,No,Without Offers,Desktop,Fiber_Optic,20.0,162.93,31100.95,633.05,No,Yes,Yes,Solved,Too many ads,1
60,M,Town,No Membership,Yes,Without Offers,Desktop,Fiber_Optic,18.0,498.09,48125.94,697.62,No,Yes,No,Not Applicable,Poor Product Quality,1
11,F,Town,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,10.0,185.53,60143.68,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
60,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,11.0,537.25,1773.49,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,0
12,M,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8.0,198.26,26105.24,721.36,Yes,No,No,Not Applicable,Poor Customer Service,0
52,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9.0,119.47,10101.48,158.5477645,Yes,No,No,Not Applicable,Poor Website,1
30,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15.0,68.19,21111.9,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
26,M,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,3.0,215.89,41979.65,697.62,No,Yes,No,Not Applicable,Too many ads,1
26,F,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,20.0,194.85,5912.06,568.34,Yes,No,No,Not Applicable,Too many ads,1
49,F,Village,Platinum Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,8.0,706.36,19062.25,780.58,Yes,No,No,Not Applicable,Poor Product Quality,0
24,M,City,Premium Membership,No,Without Offers,Desktop,Fiber_Optic,15.0,210.44,35531.98,745.49,Yes,No,No,Not Applicable,Poor Product Quality,0
22,M,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,4.0,-930.2078443,8415.63,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1
33,F,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,12.0,394.26,34697.85,752.3,Yes,No,Yes,No Information Available,Poor Website,0
17,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,6.0,348.07,94100.72,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,0
36,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,2.0,691.09,17989.46,697.62,No,Yes,Yes,Solved,No reason specified,1
12,M,City,Premium Membership,No,Without Offers,Desktop,Mobile_Data,8.0,33.09,55607.35,697.62,Yes,No,No,Not Applicable,User Friendly Website,0
58,F,Village,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,11.0,30.78,48080.03,713.62,Yes,No,No,Not Applicable,Poor Product Quality,0
41,M,Town,Platinum Membership,No,Without Offers,Both,Fiber_Optic,13.0,282.87,27528.03,743.8,Yes,No,No,Not Applicable,Poor Website,0
30,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20.0,100.42,86433.91,719.93,No,Yes,Yes,Unsolved,Reasonable Price,0
50,M,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,18.0,154.7,24197.4,697.62,No,Yes,Yes,Solved,Too many ads,0
23,M,Village,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,10.0,65.25,5136.08,755.22,No,Yes,No,Not Applicable,Poor Customer Service,0
38,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8.0,324.75,28535.13,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,0
20,M,City,Silver Membership,Yes,Without Offers,Desktop,Fiber_Optic,16.0,237.39,25000.09,704.4,No,Yes,No,Not Applicable,Poor Website,1
35,F,Village,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20.0,148.24,30984.56,729.04,Yes,No,No,Not Applicable,Poor Customer Service,0
43,M,Town,Premium Membership,Yes,Without Offers,Both,Wi-Fi,16.0,773.83,9091.94,700.4,No,Yes,No,Not Applicable,Poor Product Quality,0
32,M,City,Silver Membership,Yes,Without Offers,Desktop,Fiber_Optic,13.0,117.68,19822.82,697.62,Yes,No,No,Not Applicable,Too many ads,0
40,F,Town,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18.0,251.06,63416.63,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0
40,F,Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,,46.57,24045.93,709.73,No,Yes,No,Not Applicable,Poor Product Quality,0
48,F,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,12.0,539.49,49270.76,503.95,Yes,No,No,Not Applicable,Too many ads,1
35,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12.0,34.48,48679.07,779.59,Yes,No,No,Not Applicable,Poor Product Quality,0
28,M,Village,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,9.0,-615.344319,13131.05,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,0
44,F,Town,No Membership,Yes,Without Offers,Both,Wi-Fi,13.0,283.49,7603.71,553.45,Yes,Yes,Yes,Unsolved,No reason specified,1
40,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,3.0,33.82,39735.58,784.32,Yes,No,Yes,No Information Available,Too many ads,0
18,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,20.0,156.06,4783.23,597.87,Yes,No,Yes,No Information Available,Too many ads,0
10,M,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12.0,31.67,25436.23,656.67,No,Yes,No,Not Applicable,Poor Website,1
35,M,Town,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,4.0,157.03,22975.33,548.1,No,Yes,No,Not Applicable,Poor Website,1
43,M,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11.0,227.23,29602.15,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,1
28,M,Village,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,4.0,457.33,20883.28,-549.3574977,No,Yes,No,Not Applicable,Too many ads,1
53,M,Town,Platinum Membership,No,Without Offers,Desktop,Fiber_Optic,6.0,228.02,46353.54,302.0058985,Yes,No,Yes,No Information Available,No reason specified,0
55,F,Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,18.0,42.77,8996.95,749.56,Yes,No,Yes,Unsolved,Poor Website,0
59,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,,207.52,12556.28,-44.59763258,No,Yes,No,Not Applicable,No reason specified,1
39,M,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13.0,98.57,2645.63,674.42,No,Yes,No,Not Applicable,Poor Product Quality,1
11,M,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,23.0,176.31,8983.02,707.46,No,Yes,Yes,Solved,Poor Product Quality,1
37,M,Village,No Membership,No,Without Offers,Both,Mobile_Data,17.0,687.16,29101.96,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,1
53,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,,253.96,19233.1,1032.199126,Yes,No,Yes,Solved,Poor Website,1
57,M,Town,No Membership,No,Without Offers,Desktop,Fiber_Optic,13.0,119.1,44341.82,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,1
47,M,Town,Silver Membership,No,Without Offers,Desktop,Wi-Fi,10.0,131.86,26399.43,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0
50,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,19.0,65.39,17054.69,353.3690015,No,Yes,Yes,Solved,No reason specified,0
49,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,3.0,74.9,41612.23,1196.569315,No,Yes,Yes,Solved in Follow-up,No reason specified,1
54,M,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20.0,-687.629574,42060.89,684.69,Yes,No,Yes,No Information Available,Poor Website,1
30,M,Village,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,9.0,97.74,32347.7,697.62,No,Yes,No,Not Applicable,Poor Customer Service,0
25,F,City,Silver Membership,No,Without Offers,Desktop,Mobile_Data,13.0,135.21,3561.26,697.62,Yes,No,Yes,Solved,Too many ads,0
53,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18.0,172.99,9044.15,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
54,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,254.72,11345.66,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
62,F,City,No Membership,No,Without Offers,Both,Fiber_Optic,5.0,304.52,47658.52,699.19,No,Yes,Yes,Solved,Too many ads,1
55,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Both,Mobile_Data,1.0,1316.52,2367.56,441.8365499,Yes,No,No,Not Applicable,No reason specified,0
30,F,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13.0,264.54,40756.7,628.31,Yes,No,No,Not Applicable,Too many ads,1
30,M,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12.0,191.41,25575.44,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
51,M,Town,Premium Membership,Yes,Without Offers,Desktop,Wi-Fi,13.0,135.09,48819.9,697.62,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
29,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12.0,123.37,13032.52,697.62,Yes,No,No,Not Applicable,No reason specified,1
16,M,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9.0,355.31,20457.22,1233.769727,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0
25,F,Village,Gold Membership,Yes,Without Offers,Smartphone,Mobile_Data,11.0,31.88,35414.54,788.67,No,Yes,No,Not Applicable,No reason specified,0
62,F,City,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,14.0,125.0,38802.24,697.62,No,Yes,Yes,Unsolved,No reason specified,1
24,F,Town,Premium Membership,Yes,Without Offers,Desktop,Fiber_Optic,5.0,181.34,43554.96,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
48,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,8.0,960.62,13954.02,631.15,No,Yes,Yes,Solved,Poor Customer Service,1
56,M,Village,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,24.0,48.59,28071.04,533.05,No,Yes,Yes,Solved,Poor Website,1
17,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,12.0,30.12,15027.14,697.62,No,Yes,No,Not Applicable,No reason specified,1
23,F,Town,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,21.0,727.69,4919.72,758.83,Yes,Yes,No,Not Applicable,Too many ads,0
42,F,City,No Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,3.0,419.51,14661.42,404.4897584,No,Yes,Yes,Solved in Follow-up,No reason specified,1
59,M,Village,Gold Membership,Yes,Without Offers,Both,Mobile_Data,8.0,899.04,49614.88,758.69,Yes,No,No,Not Applicable,Poor Website,0
18,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11.0,293.42,2521.3,964.8409708,Yes,No,Yes,No Information Available,Poor Customer Service,1
23,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10.0,934.3542198,11955.94,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,1
52,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4.0,826.51,14877.24,522.61,Yes,No,No,Not Applicable,Poor Customer Service,1
49,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,21.0,115.41,41156.81,741.02,No,Yes,No,Not Applicable,Poor Customer Service,0
30,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,7.0,481.45,4207.45,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,0
31,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14.0,148.95,2364.45,634.51,No,Yes,No,Not Applicable,Too many ads,1
27,M,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21.0,357.45,29825.45,665.63,No,Yes,Yes,Solved,Poor Website,1
56,M,City,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,21.0,1386.232857,9454.17,778.27,Yes,No,No,Not Applicable,Too many ads,0
11,M,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,15.0,96.14,11995.93,207.169769,Yes,No,No,Not Applicable,Poor Customer Service,1
31,F,Town,Silver Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,10.0,428.05,6325.08,80.09369313,No,Yes,No,Not Applicable,Poor Product Quality,1
29,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14.0,42.48,16098.94,766.85,Yes,No,Yes,Solved,Poor Website,0
31,F,City,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,24.0,33.91,23226.43,762.48,No,Yes,Yes,Solved,Poor Customer Service,0
11,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,8.0,1060.527979,10990.31,271.7143813,Yes,No,No,Not Applicable,Poor Product Quality,1
14,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,,1156.431904,32302.27,520.33,No,Yes,No,Not Applicable,Poor Customer Service,1
26,M,City,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,187.91,17002.23,700.11,No,Yes,No,Not Applicable,Too many ads,0
62,M,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,10.0,284.09,48305.86,730.05,No,Yes,No,Not Applicable,Poor Website,0
51,M,Village,Platinum Membership,No,Without Offers,Desktop,Fiber_Optic,3.0,-494.0838771,40667.27,809.83,Yes,No,No,Not Applicable,Reasonable Price,0
43,F,Village,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20.0,-771.4156089,16186.76,633.22,Yes,No,No,Not Applicable,Poor Customer Service,1
23,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12.0,109.76,46102.66,783.03,Yes,No,No,Not Applicable,Poor Product Quality,0
57,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,,56.63,10171.97,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,0
17,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21.0,81.15,46109.6,270.467656,Yes,No,No,Not Applicable,No reason specified,1
42,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10.0,1195.732666,31504.62,1207.253729,Yes,No,No,Not Applicable,Poor Customer Service,0
21,F,City,Silver Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,7.0,99.95,22865.42,697.62,No,Yes,No,Not Applicable,No reason specified,0
46,M,Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21.0,287.39,44809.68,629.6,No,Yes,No,Not Applicable,Poor Product Quality,1
41,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,,892.02,36394.44,630.98,Yes,Yes,Yes,Unsolved,Poor Website,1
61,M,City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,115.29,13019.31,164.0703482,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
15,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5.0,185.05,43833.54,743.57,No,Yes,No,Not Applicable,Poor Product Quality,0
56,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,30.16,33886.44,670.11,No,Yes,No,Not Applicable,Poor Customer Service,1
35,M,City,Gold Membership,No,Without Offers,Both,Fiber_Optic,17.0,219.13,70247.76,1293.169381,Yes,Yes,No,Not Applicable,User Friendly Website,0
57,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,8.0,400.35,30248.45,660.25,No,Yes,Yes,Unsolved,Poor Customer Service,1
64,M,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20.0,49.24,39981.97,648.6,Yes,No,Yes,Solved,Too many ads,1
21,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,16.0,590.85,21919.13,610.24,Yes,No,Yes,Solved,Poor Product Quality,1
53,F,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,22.0,1142.148835,34918.7,699.08,Yes,No,Yes,Solved in Follow-up,Poor Website,1
26,M,Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,138.33,8025.77,1016.785713,Yes,No,No,Not Applicable,Poor Customer Service,1
61,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,7.0,516.46,45544.33,780.96,No,Yes,Yes,Unsolved,Too many ads,0
30,M,Town,No Membership,No,Without Offers,Desktop,Fiber_Optic,19.0,211.19,2554.48,622.45,Yes,Yes,Yes,Solved,Poor Website,1
38,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19.0,942.84,49037.16,697.62,No,Yes,No,Not Applicable,No reason specified,0
35,F,City,Gold Membership,No,Without Offers,Smartphone,Fiber_Optic,10.0,267.45,32922.76,701.45,No,Yes,No,Not Applicable,No reason specified,1
61,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,22.0,34.37,3862.41,602.86,No,Yes,No,Not Applicable,Too many ads,1
53,M,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,19.0,213.34,8860.9,671.74,Yes,No,Yes,Solved,Poor Website,1
55,M,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,23.0,50.48,8944.54,626.96,Yes,No,Yes,Unsolved,Poor Customer Service,1
23,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,13.0,1044.243494,26060.01,684.88,Yes,No,Yes,Solved,Poor Website,1
11,M,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,,628.79,33199.52,777.94,Yes,No,Yes,No Information Available,Poor Customer Service,0
22,M,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,17.0,56.58,41050.72,697.62,Yes,No,Yes,Solved,Poor Website,1
37,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11.0,172.07,23587.32,326.1310709,Yes,No,No,Not Applicable,Poor Website,1
31,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,6.0,44.99,3087.16,750.95,Yes,No,No,Not Applicable,No reason specified,0
20,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,11.0,144.33,54420.14,697.62,No,Yes,No,Not Applicable,User Friendly Website,0
53,M,City,Premium Membership,Yes,Without Offers,Both,Fiber_Optic,7.0,787.74,20129.88,697.62,Yes,No,Yes,Solved in Follow-up,Quality Customer Care,0
38,F,City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,26.0,30.49,37139.89,627.26,Yes,No,No,Not Applicable,Poor Customer Service,1
59,F,City,Basic Membership,No,Without Offers,Both,Wi-Fi,8.0,400.21,33996.1,697.6,Yes,Yes,No,Not Applicable,Poor Product Quality,1
50,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,103.36,39610.89,653.12,Yes,No,Yes,Solved,Poor Customer Service,1
64,F,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,8.0,58.15,27995.24,697.62,Yes,No,No,Not Applicable,Poor Product Quality,0
27,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10.0,862.2,35895.98,697.62,No,Yes,No,Not Applicable,No reason specified,1
12,F,Town,Gold Membership,No,Without Offers,Desktop,Wi-Fi,9.0,412.22,1313.11,733.13,Yes,Yes,No,Not Applicable,Products always in Stock,0
29,F,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19.0,222.69,18297.21,774.47,No,Yes,Yes,No Information Available,Products always in Stock,0
39,F,City,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16.0,283.85,3888.65,959.92041,Yes,No,No,Not Applicable,Products always in Stock,0
37,F,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17.0,136.19,6965.48,1181.873763,Yes,No,No,Not Applicable,Too many ads,0
37,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5.0,32.29,63097.55,780.09,No,Yes,No,Not Applicable,User Friendly Website,0
21,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,12.0,145.45,48500.63,727.97,No,Yes,Yes,Solved,Poor Customer Service,0
64,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10.0,313.84,23211.35,573.16,Yes,No,No,Not Applicable,Poor Product Quality,1
56,F,Town,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,11.0,254.72,28425.26,789.3,Yes,Yes,No,Not Applicable,No reason specified,0
37,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9.0,206.56,13037.39,616.68,Yes,No,Yes,Solved in Follow-up,Too many ads,1
55,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21.0,51.75,27564.76,660.59,No,Yes,No,Not Applicable,Too many ads,1
18,M,City,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,10.0,117.9,49537.82,528.08,Yes,No,Yes,Solved,Poor Product Quality,1
